t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C
45,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
46,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
47,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
48,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
49,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
50,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
51,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
52,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
53,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
54,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
55,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
56,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
57,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
58,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
59,2238.09308428849-145.241457753153i,-1244.82933424116-1865.62473815153i,-993.263750047332+2010.86619590468i
