t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C,tap_A,tap_B,tap_C
44,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
45,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
46,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
47,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
48,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
49,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
50,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
51,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
52,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
53,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
54,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
55,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
56,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
57,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
58,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
59,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
60,2008.92673275184-1278.58044605017i,-2114.11339826725-1060.14357231136i,191.568835615899+2344.17476769972i,8,8,8
